order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_rate,net_revenue,total_cost
I00099,O0050,P07,1,60.00,24.00,0.00,60.00,24.00
I00100,O0050,P01,2,120.00,72.00,0.00,240.00,144.00
I00101,O0050,P02,2,45.00,18.00,0.00,90.00,36.00
I00102,O0051,P08,3,0.00,0.00,0.00,0.00,0.00
I00103,O0052,P02,3,45.00,18.00,0.10,121.50,54.00
I00104,O0052,P03,3,180.00,108.00,0.00,540.00,324.00
I00105,O0053,P01,3,120.00,72.00,0.00,360.00,216.00
I00106,O0053,P02,1,45.00,18.00,0.00,45.00,18.00
I00107,O0053,P03,2,180.00,108.00,0.00,360.00,216.00
I00108,O0054,P02,3,45.00,18.00,0.00,135.00,54.00
I00109,O0055,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00110,O0055,P04,1,90.00,54.00,0.00,-90.00,-54.00
I00111,O0056,P04,1,90.00,54.00,0.10,81.00,54.00
I00112,O0056,P05,1,240.00,144.00,0.00,240.00,144.00
I00113,O0056,P06,2,75.00,30.00,0.00,150.00,60.00
I00114,O0057,P05,1,240.00,144.00,0.00,240.00,144.00
I00115,O0058,P03,1,180.00,108.00,0.00,180.00,108.00
I00116,O0058,P04,1,90.00,54.00,0.00,90.00,54.00
I00117,O0059,P04,2,90.00,54.00,0.00,180.00,108.00
I00118,O0059,P05,1,240.00,144.00,0.00,240.00,144.00
I00119,O0059,P06,3,75.00,30.00,0.00,225.00,90.00
I00120,O0060,P05,2,240.00,144.00,0.10,432.00,288.00
I00121,O0061,P05,2,240.00,144.00,0.00,480.00,288.00
I00122,O0061,P06,3,75.00,30.00,0.00,225.00,90.00
I00123,O0062,P06,2,75.00,30.00,0.00,150.00,60.00
I00124,O0062,P07,1,60.00,24.00,0.00,60.00,24.00
I00125,O0062,P01,3,120.00,72.00,0.00,360.00,216.00
I00126,O0063,P07,3,60.00,24.00,0.00,180.00,72.00
I00127,O0064,P01,2,120.00,72.00,0.10,216.00,144.00
I00128,O0064,P02,3,45.00,18.00,0.00,135.00,54.00
I00129,O0065,P02,1,45.00,18.00,0.00,45.00,18.00
I00130,O0065,P03,3,180.00,108.00,0.00,540.00,324.00
I00131,O0065,P04,3,90.00,54.00,0.00,270.00,162.00
I00132,O0066,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00133,O0067,P04,1,90.00,54.00,0.00,90.00,54.00
I00134,O0067,P05,1,240.00,144.00,0.00,240.00,144.00
I00135,O0068,P08,2,0.00,0.00,0.10,0.00,0.00
I00136,O0068,P06,1,75.00,30.00,0.00,75.00,30.00
I00137,O0068,P07,2,60.00,24.00,0.00,120.00,48.00
I00138,O0069,P06,3,75.00,30.00,0.00,225.00,90.00
I00139,O0070,P04,2,90.00,54.00,0.00,180.00,108.00
I00140,O0070,P05,2,240.00,144.00,0.00,480.00,288.00
I00141,O0071,P05,3,240.00,144.00,0.00,720.00,432.00
I00142,O0071,P06,2,75.00,30.00,0.00,150.00,60.00
I00143,O0071,P07,2,60.00,24.00,0.00,120.00,48.00
I00144,O0072,P06,1,75.00,30.00,0.10,67.50,30.00
I00145,O0073,P06,1,75.00,30.00,0.00,75.00,30.00
I00146,O0073,P07,3,60.00,24.00,0.00,180.00,72.00
I00147,O0074,P07,3,60.00,24.00,0.00,180.00,72.00
I00148,O0074,P01,3,120.00,72.00,0.00,360.00,216.00
I00149,O0074,P02,3,45.00,18.00,0.00,135.00,54.00
I00150,O0075,P01,1,120.00,72.00,0.00,120.00,72.00
I00151,O0076,P02,2,45.00,18.00,0.10,81.00,36.00
I00152,O0076,P03,2,180.00,108.00,0.00,360.00,216.00
I00153,O0077,P01,2,120.00,72.00,0.00,-240.00,-144.00
I00154,O0077,P02,3,45.00,18.00,0.00,-135.00,-54.00
I00155,O0077,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00156,O0078,P02,2,45.00,18.00,0.00,90.00,36.00
I00157,O0079,P03,2,180.00,108.00,0.00,360.00,216.00
I00158,O0079,P04,3,90.00,54.00,0.00,270.00,162.00
I00159,O0080,P04,3,90.00,54.00,0.10,243.00,162.00
I00160,O0080,P05,2,240.00,144.00,0.00,480.00,288.00
I00161,O0080,P06,2,75.00,30.00,0.00,150.00,60.00
I00162,O0081,P05,2,240.00,144.00,0.00,480.00,288.00
I00163,O0082,P05,2,240.00,144.00,0.00,480.00,288.00
I00164,O0082,P06,2,75.00,30.00,0.00,150.00,60.00
I00165,O0083,P06,3,75.00,30.00,0.00,225.00,90.00
I00166,O0083,P07,1,60.00,24.00,0.00,60.00,24.00
I00167,O0083,P01,3,120.00,72.00,0.00,360.00,216.00
I00168,O0084,P07,1,60.00,24.00,0.10,54.00,24.00
I00169,O0085,P08,1,0.00,0.00,0.00,0.00,0.00
I00170,O0085,P01,2,120.00,72.00,0.00,240.00,144.00
I00171,O0086,P01,2,120.00,72.00,0.00,240.00,144.00
I00172,O0086,P02,3,45.00,18.00,0.00,135.00,54.00
I00173,O0086,P03,3,180.00,108.00,0.00,540.00,324.00
I00174,O0087,P02,1,45.00,18.00,0.00,45.00,18.00
I00175,O0088,P03,3,180.00,108.00,0.10,-486.00,-324.00
I00176,O0088,P04,2,90.00,54.00,0.00,-180.00,-108.00
I00177,O0089,P02,1,45.00,18.00,0.00,45.00,18.00
I00178,O0089,P03,2,180.00,108.00,0.00,360.00,216.00
I00179,O0089,P04,1,90.00,54.00,0.00,90.00,54.00
I00180,O0090,P03,3,180.00,108.00,0.00,540.00,324.00
I00181,O0091,P04,2,90.00,54.00,0.00,180.00,108.00
I00182,O0091,P05,1,240.00,144.00,0.00,240.00,144.00
I00183,O0092,P05,1,240.00,144.00,0.10,216.00,144.00
I00184,O0092,P06,3,75.00,30.00,0.00,225.00,90.00
I00185,O0092,P07,2,60.00,24.00,0.00,120.00,48.00
I00186,O0093,P06,2,75.00,30.00,0.00,150.00,60.00
I00187,O0094,P04,2,90.00,54.00,0.00,180.00,108.00
I00188,O0094,P05,2,240.00,144.00,0.00,480.00,288.00
I00189,O0095,P05,1,240.00,144.00,0.00,240.00,144.00
I00190,O0095,P06,3,75.00,30.00,0.00,225.00,90.00
I00191,O0095,P07,2,60.00,24.00,0.00,120.00,48.00
I00192,O0096,P06,1,75.00,30.00,0.10,67.50,30.00
I00193,O0097,P01,2,120.00,72.00,0.00,240.00,144.00
I00194,O0097,P02,3,45.00,18.00,0.00,135.00,54.00
I00195,O0098,P02,3,45.00,18.00,0.00,135.00,54.00
I00196,O0098,P03,2,180.00,108.00,0.00,360.00,216.00
I00197,O0098,P04,1,90.00,54.00,0.00,90.00,54.00
I00198,O0099,P03,3,180.00,108.00,0.00,-540.00,-324.00
I00199,O0100,P04,1,90.00,54.00,0.10,81.00,54.00
I00200,O0100,P05,2,240.00,144.00,0.00,480.00,288.00
I00201,O0101,P03,1,180.00,108.00,0.00,180.00,108.00
I00202,O0101,P04,3,90.00,54.00,0.00,270.00,162.00
I00203,O0101,P05,1,240.00,144.00,0.00,240.00,144.00
I00204,O0102,P08,1,0.00,0.00,0.00,0.00,0.00
I00205,O0103,P05,1,240.00,144.00,0.00,240.00,144.00
I00206,O0103,P06,3,75.00,30.00,0.00,225.00,90.00
I00207,O0104,P06,2,75.00,30.00,0.10,135.00,60.00
I00208,O0104,P07,3,60.00,24.00,0.00,180.00,72.00
I00209,O0104,P01,1,120.00,72.00,0.00,120.00,72.00
I00210,O0105,P07,2,60.00,24.00,0.00,120.00,48.00
I00211,O0106,P05,3,240.00,144.00,0.00,720.00,432.00
I00212,O0106,P06,3,75.00,30.00,0.00,225.00,90.00
I00213,O0107,P06,2,75.00,30.00,0.00,150.00,60.00
I00214,O0107,P07,1,60.00,24.00,0.00,60.00,24.00
I00215,O0107,P01,3,120.00,72.00,0.00,360.00,216.00
I00216,O0108,P07,1,60.00,24.00,0.10,54.00,24.00
I00217,O0109,P07,3,60.00,24.00,0.00,180.00,72.00
I00218,O0109,P01,3,120.00,72.00,0.00,360.00,216.00
I00219,O0110,P01,3,120.00,72.00,0.00,-360.00,-216.00
I00220,O0110,P02,2,45.00,18.00,0.00,-90.00,-36.00
I00221,O0110,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00222,O0111,P02,1,45.00,18.00,0.00,45.00,18.00
I00223,O0112,P03,1,180.00,108.00,0.10,162.00,108.00
I00224,O0112,P04,2,90.00,54.00,0.00,180.00,108.00
I00225,O0113,P04,1,90.00,54.00,0.00,90.00,54.00
I00226,O0113,P05,1,240.00,144.00,0.00,240.00,144.00
I00227,O0113,P06,1,75.00,30.00,0.00,75.00,30.00
I00228,O0114,P05,3,240.00,144.00,0.00,720.00,432.00
I00229,O0115,P06,1,75.00,30.00,0.00,75.00,30.00
I00230,O0115,P07,3,60.00,24.00,0.00,180.00,72.00
I00231,O0116,P07,3,60.00,24.00,0.10,162.00,72.00
I00232,O0116,P01,2,120.00,72.00,0.00,240.00,144.00
I00233,O0116,P02,2,45.00,18.00,0.00,90.00,36.00
I00234,O0117,P01,3,120.00,72.00,0.00,360.00,216.00
I00235,O0118,P06,2,75.00,30.00,0.00,150.00,60.00
I00236,O0118,P07,1,60.00,24.00,0.00,60.00,24.00
I00237,O0119,P08,2,0.00,0.00,0.00,0.00,0.00
I00238,O0119,P01,3,120.00,72.00,0.00,360.00,216.00
I00239,O0119,P02,2,45.00,18.00,0.00,90.00,36.00
I00240,O0120,P01,1,120.00,72.00,0.10,108.00,72.00
I00241,O0121,P01,3,120.00,72.00,0.00,-360.00,-216.00
I00242,O0121,P02,3,45.00,18.00,0.00,-135.00,-54.00
I00243,O0122,P02,3,45.00,18.00,0.00,135.00,54.00
I00244,O0122,P03,1,180.00,108.00,0.00,180.00,108.00
I00245,O0122,P04,1,90.00,54.00,0.00,90.00,54.00
I00246,O0123,P03,2,180.00,108.00,0.00,360.00,216.00
I00247,O0124,P04,3,90.00,54.00,0.10,243.00,162.00
I00248,O0124,P05,1,240.00,144.00,0.00,240.00,144.00
I00249,O0125,P03,3,180.00,108.00,0.00,540.00,324.00
I00250,O0125,P04,2,90.00,54.00,0.00,180.00,108.00
I00251,O0125,P05,3,240.00,144.00,0.00,720.00,432.00
I00252,O0126,P04,2,90.00,54.00,0.00,180.00,108.00
I00253,O0127,P05,2,240.00,144.00,0.00,480.00,288.00
I00254,O0127,P06,3,75.00,30.00,0.00,225.00,90.00
I00255,O0128,P06,2,75.00,30.00,0.10,135.00,60.00
I00256,O0128,P07,3,60.00,24.00,0.00,180.00,72.00
I00257,O0128,P01,2,120.00,72.00,0.00,240.00,144.00
I00258,O0129,P07,2,60.00,24.00,0.00,120.00,48.00
I00259,O0130,P07,1,60.00,24.00,0.00,60.00,24.00
I00260,O0130,P01,2,120.00,72.00,0.00,240.00,144.00
I00261,O0131,P01,1,120.00,72.00,0.00,120.00,72.00
I00262,O0131,P02,3,45.00,18.00,0.00,135.00,54.00
I00263,O0131,P03,2,180.00,108.00,0.00,360.00,216.00
I00264,O0132,P02,2,45.00,18.00,0.10,-81.00,-36.00
I00265,O0133,P02,2,45.00,18.00,0.00,90.00,36.00
I00266,O0133,P03,2,180.00,108.00,0.00,360.00,216.00
I00267,O0134,P03,3,180.00,108.00,0.00,540.00,324.00
I00268,O0134,P04,1,90.00,54.00,0.00,90.00,54.00
I00269,O0134,P05,2,240.00,144.00,0.00,480.00,288.00
I00270,O0135,P04,2,90.00,54.00,0.00,180.00,108.00
I00271,O0136,P08,1,0.00,0.00,0.10,0.00,0.00
I00272,O0136,P06,2,75.00,30.00,0.00,150.00,60.00
I00273,O0137,P04,1,90.00,54.00,0.00,90.00,54.00
I00274,O0137,P05,2,240.00,144.00,0.00,480.00,288.00
I00275,O0137,P06,3,75.00,30.00,0.00,225.00,90.00
I00276,O0138,P05,3,240.00,144.00,0.00,720.00,432.00
I00277,O0139,P06,2,75.00,30.00,0.00,150.00,60.00
I00278,O0139,P07,2,60.00,24.00,0.00,120.00,48.00
I00279,O0140,P07,3,60.00,24.00,0.10,162.00,72.00
I00280,O0140,P01,3,120.00,72.00,0.00,360.00,216.00
I00281,O0140,P02,3,45.00,18.00,0.00,135.00,54.00
I00282,O0141,P01,2,120.00,72.00,0.00,240.00,144.00
I00283,O0142,P06,2,75.00,30.00,0.00,150.00,60.00
I00284,O0142,P07,3,60.00,24.00,0.00,180.00,72.00
I00285,O0143,P07,2,60.00,24.00,0.00,-120.00,-48.00
I00286,O0143,P01,3,120.00,72.00,0.00,-360.00,-216.00
I00287,O0143,P02,3,45.00,18.00,0.00,-135.00,-54.00
I00288,O0144,P01,3,120.00,72.00,0.10,324.00,216.00
I00289,O0145,P03,1,180.00,108.00,0.00,180.00,108.00
I00290,O0145,P04,3,90.00,54.00,0.00,270.00,162.00
I00291,O0146,P04,1,90.00,54.00,0.00,90.00,54.00
I00292,O0146,P05,1,240.00,144.00,0.00,240.00,144.00
I00293,O0146,P06,2,75.00,30.00,0.00,150.00,60.00
I00294,O0147,P05,2,240.00,144.00,0.00,480.00,288.00
I00295,O0148,P06,2,75.00,30.00,0.10,135.00,60.00
I00296,O0148,P07,3,60.00,24.00,0.00,180.00,72.00
I00297,O0149,P05,2,240.00,144.00,0.00,480.00,288.00
I00298,O0149,P06,3,75.00,30.00,0.00,225.00,90.00
I00299,O0149,P07,1,60.00,24.00,0.00,60.00,24.00
I00300,O0150,P06,3,75.00,30.00,0.00,225.00,90.00
I00301,O0151,P07,1,60.00,24.00,0.00,60.00,24.00
I00302,O0151,P01,2,120.00,72.00,0.00,240.00,144.00
I00303,O0152,P01,3,120.00,72.00,0.10,324.00,216.00
I00304,O0152,P02,3,45.00,18.00,0.00,135.00,54.00
I00305,O0152,P03,3,180.00,108.00,0.00,540.00,324.00
I00306,O0153,P08,3,0.00,0.00,0.00,0.00,0.00
I00307,O0154,P07,2,60.00,24.00,0.00,-120.00,-48.00
I00308,O0154,P01,2,120.00,72.00,0.00,-240.00,-144.00
I00309,O0155,P01,2,120.00,72.00,0.00,240.00,144.00
I00310,O0155,P02,2,45.00,18.00,0.00,90.00,36.00
I00311,O0155,P03,3,180.00,108.00,0.00,540.00,324.00
I00312,O0156,P02,1,45.00,18.00,0.10,40.50,18.00
I00313,O0157,P02,1,45.00,18.00,0.00,45.00,18.00
I00314,O0157,P03,2,180.00,108.00,0.00,360.00,216.00
I00315,O0158,P03,2,180.00,108.00,0.00,360.00,216.00
I00316,O0158,P04,2,90.00,54.00,0.00,180.00,108.00
I00317,O0158,P05,2,240.00,144.00,0.00,480.00,288.00
I00318,O0159,P04,1,90.00,54.00,0.00,90.00,54.00
I00319,O0160,P05,1,240.00,144.00,0.10,216.00,144.00
I00320,O0160,P06,2,75.00,30.00,0.00,150.00,60.00
I00321,O0161,P06,2,75.00,30.00,0.00,150.00,60.00
I00322,O0161,P07,2,60.00,24.00,0.00,120.00,48.00
I00323,O0161,P01,2,120.00,72.00,0.00,240.00,144.00
I00324,O0162,P07,2,60.00,24.00,0.00,120.00,48.00
I00325,O0163,P01,2,120.00,72.00,0.00,240.00,144.00
I00326,O0163,P02,3,45.00,18.00,0.00,135.00,54.00
I00327,O0164,P02,3,45.00,18.00,0.10,121.50,54.00
I00328,O0164,P03,3,180.00,108.00,0.00,540.00,324.00
I00329,O0164,P04,2,90.00,54.00,0.00,180.00,108.00
I00330,O0165,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00331,O0166,P01,3,120.00,72.00,0.00,360.00,216.00
I00332,O0166,P02,1,45.00,18.00,0.00,45.00,18.00
I00333,O0167,P02,3,45.00,18.00,0.00,135.00,54.00
I00334,O0167,P03,3,180.00,108.00,0.00,540.00,324.00
I00335,O0167,P04,1,90.00,54.00,0.00,90.00,54.00
I00336,O0168,P03,1,180.00,108.00,0.10,162.00,108.00
I00337,O0169,P03,2,180.00,108.00,0.00,360.00,216.00
I00338,O0169,P04,2,90.00,54.00,0.00,180.00,108.00
I00339,O0170,P08,3,0.00,0.00,0.00,0.00,0.00
I00340,O0170,P05,1,240.00,144.00,0.00,240.00,144.00
I00341,O0170,P06,3,75.00,30.00,0.00,225.00,90.00
I00342,O0171,P05,3,240.00,144.00,0.00,720.00,432.00
I00343,O0172,P06,3,75.00,30.00,0.10,202.50,90.00
I00344,O0172,P07,3,60.00,24.00,0.00,180.00,72.00
I00345,O0173,P05,2,240.00,144.00,0.00,480.00,288.00
I00346,O0173,P06,2,75.00,30.00,0.00,150.00,60.00
I00347,O0173,P07,3,60.00,24.00,0.00,180.00,72.00
I00348,O0174,P06,2,75.00,30.00,0.00,150.00,60.00
I00349,O0175,P07,2,60.00,24.00,0.00,120.00,48.00
I00350,O0175,P01,3,120.00,72.00,0.00,360.00,216.00
I00351,O0176,P01,2,120.00,72.00,0.10,-216.00,-144.00
I00352,O0176,P02,2,45.00,18.00,0.00,-90.00,-36.00
I00353,O0176,P03,2,180.00,108.00,0.00,-360.00,-216.00
I00354,O0177,P02,2,45.00,18.00,0.00,90.00,36.00
I00355,O0178,P02,3,45.00,18.00,0.00,135.00,54.00
I00356,O0178,P03,1,180.00,108.00,0.00,180.00,108.00
I00357,O0179,P03,3,180.00,108.00,0.00,540.00,324.00
I00358,O0179,P04,1,90.00,54.00,0.00,90.00,54.00
I00359,O0179,P05,2,240.00,144.00,0.00,480.00,288.00
I00360,O0180,P04,1,90.00,54.00,0.10,81.00,54.00
I00361,O0181,P04,3,90.00,54.00,0.00,270.00,162.00
I00362,O0181,P05,2,240.00,144.00,0.00,480.00,288.00
I00363,O0182,P05,3,240.00,144.00,0.00,720.00,432.00
I00364,O0182,P06,1,75.00,30.00,0.00,75.00,30.00
I00365,O0182,P07,1,60.00,24.00,0.00,60.00,24.00
I00366,O0183,P06,1,75.00,30.00,0.00,75.00,30.00
I00367,O0184,P07,3,60.00,24.00,0.10,162.00,72.00
I00368,O0184,P01,3,120.00,72.00,0.00,360.00,216.00
I00369,O0185,P06,1,75.00,30.00,0.00,75.00,30.00
I00370,O0185,P07,2,60.00,24.00,0.00,120.00,48.00
I00371,O0185,P01,3,120.00,72.00,0.00,360.00,216.00
I00372,O0186,P07,1,60.00,24.00,0.00,60.00,24.00
I00373,O0187,P08,3,0.00,0.00,0.00,-0.00,-0.00
I00374,O0187,P02,1,45.00,18.00,0.00,-45.00,-18.00
I00375,O0188,P02,1,45.00,18.00,0.10,40.50,18.00
I00376,O0188,P03,3,180.00,108.00,0.00,540.00,324.00
I00377,O0188,P04,2,90.00,54.00,0.00,180.00,108.00
I00378,O0189,P03,3,180.00,108.00,0.00,540.00,324.00
I00379,O0190,P01,3,120.00,72.00,0.00,360.00,216.00
I00380,O0190,P02,2,45.00,18.00,0.00,90.00,36.00
I00381,O0191,P02,2,45.00,18.00,0.00,90.00,36.00
I00382,O0191,P03,2,180.00,108.00,0.00,360.00,216.00
I00383,O0191,P04,2,90.00,54.00,0.00,180.00,108.00
I00384,O0192,P03,3,180.00,108.00,0.10,486.00,324.00
I00385,O0193,P04,2,90.00,54.00,0.00,180.00,108.00
I00386,O0193,P05,2,240.00,144.00,0.00,480.00,288.00
I00387,O0194,P05,1,240.00,144.00,0.00,240.00,144.00
I00388,O0194,P06,1,75.00,30.00,0.00,75.00,30.00
I00389,O0194,P07,1,60.00,24.00,0.00,60.00,24.00
I00390,O0195,P06,3,75.00,30.00,0.00,225.00,90.00
I00391,O0196,P07,3,60.00,24.00,0.10,162.00,72.00
I00392,O0196,P01,2,120.00,72.00,0.00,240.00,144.00
I00393,O0197,P06,1,75.00,30.00,0.00,75.00,30.00
I00394,O0197,P07,3,60.00,24.00,0.00,180.00,72.00
I00395,O0197,P01,3,120.00,72.00,0.00,360.00,216.00
I00396,O0198,P07,3,60.00,24.00,0.00,-180.00,-72.00
I00397,O0199,P01,1,120.00,72.00,0.00,120.00,72.00
I00398,O0199,P02,3,45.00,18.00,0.00,135.00,54.00
I00399,O0200,P02,3,45.00,18.00,0.10,121.50,54.00
I00400,O0200,P03,1,180.00,108.00,0.00,180.00,108.00
I00401,O0200,P04,2,90.00,54.00,0.00,180.00,108.00
I00402,O0201,P03,2,180.00,108.00,0.00,360.00,216.00
I00403,O0202,P01,1,120.00,72.00,0.00,120.00,72.00
I00404,O0202,P02,3,45.00,18.00,0.00,135.00,54.00
I00405,O0203,P02,2,45.00,18.00,0.00,90.00,36.00
I00406,O0203,P03,1,180.00,108.00,0.00,180.00,108.00
I00407,O0203,P04,3,90.00,54.00,0.00,270.00,162.00
I00408,O0204,P08,1,0.00,0.00,0.10,0.00,0.00
I00409,O0205,P03,1,180.00,108.00,0.00,180.00,108.00
I00410,O0205,P04,2,90.00,54.00,0.00,180.00,108.00
I00411,O0206,P04,1,90.00,54.00,0.00,90.00,54.00
I00412,O0206,P05,2,240.00,144.00,0.00,480.00,288.00
I00413,O0206,P06,1,75.00,30.00,0.00,75.00,30.00
I00414,O0207,P05,3,240.00,144.00,0.00,720.00,432.00
I00415,O0208,P06,3,75.00,30.00,0.10,202.50,90.00
I00416,O0208,P07,1,60.00,24.00,0.00,60.00,24.00
I00417,O0209,P07,1,60.00,24.00,0.00,-60.00,-24.00
I00418,O0209,P01,3,120.00,72.00,0.00,-360.00,-216.00
I00419,O0209,P02,1,45.00,18.00,0.00,-45.00,-18.00
